,wahlbezirk,wahlkreis,bezirk,bezirkname,ost_west,waehler_be,waehler,ungueltig,gueltig,cdu_p,spd_p,linke_p,gruene_p,afd_p,piraten_p,fdp_p
97,1416,104,1,Mitte,W,1086,555,5,550,0.18363636363636365,0.19454545454545452,0.1890909090909091,0.1890909090909091,0.09090909090909093,0.00909090909090909,0.06363636363636363
98,1417,104,1,Mitte,W,1176,542,8,534,0.14606741573033707,0.2172284644194757,0.200374531835206,0.20411985018726592,0.03932584269662921,0.0149812734082397,0.08052434456928839
99,1418,104,1,Mitte,W,1131,510,9,501,0.16167664670658682,0.19760479041916168,0.20159680638722555,0.18962075848303392,0.093812375249501,0.017964071856287425,0.07984031936127745
100,1419,104,1,Mitte,W,1280,672,8,664,0.11295180722891568,0.1852409638554217,0.2605421686746988,0.1987951807228916,0.05873493975903615,0.010542168674698794,0.07530120481927711
101,1420,104,1,Mitte,W,996,545,5,540,0.15555555555555556,0.17592592592592593,0.19814814814814816,0.2222222222222222,0.07222222222222223,0.014814814814814815,0.07222222222222223
102,1421,104,1,Mitte,W,826,444,14,430,0.1883720930232558,0.1744186046511628,0.19534883720930232,0.12325581395348838,0.10465116279069768,0.018604651162790697,0.07441860465116279
103,1422,104,1,Mitte,W,1021,453,7,446,0.13228699551569506,0.16143497757847533,0.2600896860986547,0.19730941704035876,0.05829596412556054,0.02914798206278027,0.056053811659192834
104,1423,104,1,Mitte,W,882,413,8,405,0.1802469135802469,0.20987654320987653,0.20493827160493827,0.15555555555555556,0.09876543209876544,0.014814814814814815,0.07407407407407407
105,1424,104,1,Mitte,W,1243,632,6,626,0.15335463258785942,0.19968051118210864,0.2252396166134185,0.17891373801916932,0.09105431309904154,0.007987220447284345,0.051118210862619806
106,1425,104,1,Mitte,W,1323,687,14,673,0.13818722139673106,0.1738484398216939,0.2689450222882615,0.19316493313521546,0.06092124814264487,0.014858841010401188,0.05794947994056464
107,1426,104,1,Mitte,W,1280,602,11,591,0.1065989847715736,0.18274111675126906,0.29441624365482233,0.19796954314720813,0.06598984771573604,0.011844331641285956,0.04060913705583756
108,1427,104,1,Mitte,W,874,401,7,394,0.1700507614213198,0.2182741116751269,0.23604060913705585,0.14720812182741114,0.08375634517766498,0.015228426395939087,0.04822335025380711
109,1428,104,1,Mitte,W,833,363,4,359,0.12256267409470753,0.181058495821727,0.2172701949860724,0.20055710306406685,0.06963788300835655,0.011142061281337049,0.061281337047353765
110,1500,105,1,Mitte,W,1027,467,11,456,0.19298245614035087,0.19078947368421054,0.19298245614035087,0.09429824561403508,0.15350877192982454,0.006578947368421052,0.1118421052631579
111,1501,105,1,Mitte,W,839,421,13,408,0.22058823529411764,0.21568627450980396,0.11274509803921567,0.11519607843137256,0.13970588235294118,0.007352941176470587,0.11519607843137256
112,1502,105,1,Mitte,W,548,233,11,222,0.23873873873873874,0.2477477477477477,0.15315315315315314,0.0945945945945946,0.1126126126126126,0.0045045045045045045,0.09009009009009007
113,1503,105,1,Mitte,W,1069,562,24,538,0.2732342007434944,0.2862453531598513,0.11524163568773235,0.08550185873605948,0.14312267657992564,0.0037174721189591076,0.061338289962825275
